Order Id,Order Date,Month,Customer,Invoice Id,Product Id,Product Name,Qty,Rate,Net Amount,Tax Type,TAX,Tax Amount,Amount
11130,42609,Aug,Customer 2,11118,ITEM-CM_JAAYEPATRE,JAAYE PATRE/ JAVITRI/ MACE 1KG,0.2,1500,284.36,VAT,5.5,15.64,300
11135,42611,Aug,Customer 2,11123,11496,MDH - DEGGI MIRCH POWDER 500GM,4,238.5,935.29,VAT,2,18.71,954
11142,42612,Aug,Customer 1,11130,10474,KOLAM RICE QUALITY1 25KG,1,1575,1575,  ,0,0,1575
11145,42613,Aug,Customer 3,11133,10141,PANEER1KG,10,221.23,2212.3,VAT,0,0,2212.3
11023,42583,Aug,Customer 3,11011,10220,GULAM JAMUN 1 Kg- MTR,10,247.5,2345.97,VAT,5.5,129.03,2475
11146,42614,Sep,Customer 2,11134,10466,Basumathi Rice 25kg,4,1725,6900,  ,0,0,6900
11150,42616,Sep,Customer 3,11138,11132,GRAM FLOUR 1KG,20,76,1520,  ,0,0,1520
11150,42616,Sep,Customer 3,11138,11213,SUNPOWER 15KG TIN,6,1175,7050,  ,0,0,7050
11150,42616,Sep,Customer 3,11138,11127,KABUL CHANA (1) 1KG,10,130,1300,  ,0,0,1300
11150,42616,Sep,Customer 3,11138,ITEM-CORN_FLOUR_1KG_PKT,CORN FLOUR 1KG PKT,5,40.26,201.3,  ,0,0,201.3
11150,42616,Sep,Customer 3,11138,10070,SAUCE - RED CHILLY (Chilli0 1PC,5,40,200,  ,0,0,200
11150,42616,Sep,Customer 3,11138,ITEM-WHITEPEAS1KG,WHITE PEAS 1KG,5,38,190,  ,0,0,190
11150,42616,Sep,Customer 3,11138,10220,GULAM JAMUN 1 Kg- MTR,5,247.5,1237.5,  ,0,0,1237.5
11151,42616,Sep,Customer 2,11139,10546,MUSTARD OIL 1LTR -DHARA,3,129,387,  ,0,0,387
11151,42616,Sep,Customer 2,11139,10860,SUGAR 50KG,1,2000,2000,  ,0,0,2000
11151,42616,Sep,Customer 2,11139,11274,GREEN PEAS DRY 1 KG,3,44,132,  ,0,0,132
11151,42616,Sep,Customer 2,11139,10790,ATTA (2) 10KG,7,240,1680,  ,0,0,1680
